,GR1,GR2,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
124,0.0,0.0,0.0,1.1,38.0,31.5,10.0,2.8,6.5,3.0,2.1,5.0,0.0,0.0,15.4,2.13,0.443,SM,0,SM
125,0.0,0.6,1.1,11.3,34.3,30.6,10.2,1.0,3.3,2.6,1.7,3.3,0.0,0.0,16.7,2.12,0.467,SP-SM,0,SM
126,0.0,0.0,0.5,5.0,39.6,27.0,8.2,2.0,6.2,3.7,2.6,5.2,0.0,0.0,17.4,2.09,0.5,SM,0,SM
127,0.0,0.0,1.9,4.0,24.0,27.4,22.9,2.7,7.3,3.0,1.7,5.1,0.0,0.0,17.1,2.11,0.483,SM,0,SM
128,0.0,0.9,1.2,7.7,24.6,20.1,21.6,3.8,8.6,3.2,2.7,5.6,0.0,0.0,16.6,2.12,0.467,SM,0,SM
129,0.0,0.0,0.9,12.3,43.1,23.2,5.8,2.3,2.8,2.8,1.8,5.0,0.0,0.0,17.4,2.11,0.483,SM,10,SM
130,0.0,0.4,4.8,20.3,24.7,18.3,11.8,2.4,6.0,3.6,2.0,5.7,0.0,0.0,16.9,2.1,0.483,SM,0,SM
131,0.0,0.0,0.3,8.5,39.5,23.4,7.6,3.1,6.7,2.9,2.0,6.0,0.0,0.0,15.7,2.13,0.451,SM,0,SM
132,0.0,0.3,3.5,19.1,19.2,19.8,14.7,3.3,6.8,4.4,2.2,6.7,0.0,0.0,17.0,2.12,0.475,SM,0,SM
133,0.0,0.0,1.2,15.5,19.4,25.5,17.6,3.6,5.7,3.7,2.2,5.6,0.0,0.0,16.3,2.1,0.475,SM,0,SM
134,0.0,0.0,4.6,39.2,20.3,9.1,9.5,2.3,4.6,2.6,2.3,5.5,0.0,0.0,15.8,2.13,0.451,SM,3,SM
135,0.0,0.0,2.5,23.8,30.0,16.9,8.4,3.0,3.9,2.3,2.7,6.5,0.0,0.0,16.1,2.14,0.451,SM,11,SM
136,0.0,0.0,4.1,22.2,24.1,21.2,8.0,2.6,6.4,2.3,2.4,6.7,0.0,0.0,18.0,2.08,0.517,SM,0,SM
137,0.0,0.0,0.4,3.1,7.8,30.3,30.9,4.3,8.8,3.5,2.8,8.1,0.0,0.0,16.3,2.1,0.481,SM,6,SM
138,0.0,0.0,0.6,9.4,26.0,32.5,15.1,2.3,4.9,1.8,1.3,6.1,0.0,0.0,17.1,2.11,0.483,SM,0,SM
139,0.0,0.4,1.8,5.0,18.1,22.0,22.2,4.4,11.1,5.1,2.7,7.2,0.0,0.0,16.0,2.12,0.459,SM,0,SM
140,0.0,0.0,0.3,2.1,31.1,34.3,12.0,2.9,6.0,2.8,2.9,5.6,0.0,0.0,17.1,2.1,0.492,SM,0,SM
141,0.0,0.3,1.1,9.5,35.7,19.9,9.4,4.1,7.6,2.7,2.9,6.8,0.0,0.0,16.4,2.11,0.475,SM,0,SM
142,0.0,0.0,0.0,0.0,1.0,2.1,2.1,1.8,16.9,20.7,11.2,44.2,60.2,35.9,52.3,1.66,1.422,MH,4,MH
143,0.0,0.0,0.0,0.0,0.0,0.6,0.9,2.3,15.9,23.4,12.1,44.8,79.6,41.5,74.4,1.51,2.046,MH,4,MH
144,0.0,1.4,0.6,1.8,1.7,2.6,50.7,12.9,10.0,3.6,5.6,9.1,29.1,22.1,27.2,1.93,0.77,SC-SM,8,SC
145,0.0,0.0,0.0,0.0,0.6,2.6,30.2,6.5,11.7,11.7,10.3,26.4,32.8,20.3,25.5,1.96,0.737,s(CL),2,SC
146,0.0,0.0,0.0,0.0,2.3,19.5,20.9,5.2,9.7,8.7,7.2,26.5,28.5,18.9,23.5,2.01,0.663,SC,2,SC
147,0.0,0.0,0.3,2.3,12.3,42.0,17.3,2.9,5.5,4.7,4.4,8.3,0.0,0.0,18.9,2.08,0.531,SM,0,SM
148,0.0,0.0,0.4,3.2,21.7,28.8,21.8,2.1,4.4,5.8,4.3,7.5,0.0,0.0,18.1,2.09,0.514,SM,0,SM
149,0.0,0.0,0.0,1.6,23.0,40.9,15.9,2.2,4.5,2.6,3.4,5.9,0.0,0.0,20.1,2.05,0.561,SM,0,SM
150,0.0,0.0,0.0,1.0,9.1,37.1,29.1,2.4,3.5,6.1,4.7,7.0,0.0,0.0,19.4,2.04,0.561,SM,6,SM
151,0.0,3.0,9.3,34.4,29.0,8.9,5.1,1.1,1.8,2.5,1.3,3.6,0.0,0.0,16.3,2.1,0.475,SP-SM,3,SM
152,0.0,0.0,0.2,1.2,24.0,42.8,12.5,1.6,2.9,4.3,4.3,6.2,0.0,0.0,17.6,2.09,0.5,SM,0,SM
153,0.0,0.0,0.0,1.5,18.6,52.8,10.0,1.8,2.6,2.6,3.7,6.4,0.0,0.0,16.0,2.12,0.459,SM,0,SM
154,0.0,0.0,0.9,3.4,18.4,39.6,16.4,2.1,2.8,4.8,4.6,7.0,0.0,0.0,18.1,2.07,0.526,SM,0,SM
155,0.0,0.2,3.2,11.0,21.9,30.7,15.8,1.6,3.0,3.5,3.2,5.9,0.0,0.0,16.7,2.1,0.483,SM,0,SM
156,0.0,0.0,3.6,8.5,17.1,32.8,19.8,2.1,4.7,2.7,2.7,6.0,0.0,0.0,17.6,2.09,0.5,SM,0,SM
157,0.0,0.0,0.0,0.0,0.5,15.0,56.9,4.6,8.4,3.7,3.8,7.1,0.0,0.0,18.3,2.06,0.534,SM,5,SM
158,0.0,0.0,0.0,0.3,16.8,51.1,12.8,2.8,3.9,2.4,3.5,6.4,0.0,0.0,17.7,2.1,0.5,SM,0,SM
159,0.0,0.0,0.0,1.5,14.3,25.7,34.1,4.3,5.8,3.0,3.5,7.8,0.0,0.0,19.0,2.06,0.549,SM,6,SM
160,0.0,0.0,0.0,0.0,0.0,0.5,0.9,1.6,11.4,20.2,10.3,55.1,50.8,22.9,20.3,2.07,0.587,CH,1,CH
161,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,8.8,16.1,11.3,62.6,61.3,28.3,20.5,2.06,0.602,CH,12,CH
162,0.0,0.0,0.0,0.0,0.2,0.5,0.7,1.8,8.3,14.3,12.7,61.5,60.2,23.6,19.1,2.1,0.557,CH,12,CH
163,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.2,6.2,13.7,14.6,64.6,65.5,26.2,19.9,2.08,0.584,CH,12,CH
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.8,10.8,11.1,74.0,76.5,33.0,23.2,2.0,0.691,CH,12,CH
165,0.0,0.0,0.0,0.5,1.2,2.5,6.7,4.9,16.5,16.3,8.7,42.7,50.8,21.5,19.2,2.11,0.548,(CH)s,1,CH
166,0.0,0.0,0.0,0.5,0.2,0.7,2.3,3.4,20.0,20.3,10.1,42.5,55.7,21.7,21.3,2.06,0.612,CH,1,CH
167,0.0,0.0,0.0,0.0,0.0,0.0,1.4,2.6,18.8,28.6,16.1,32.5,54.6,27.6,20.7,2.05,0.612,CH,1,CH
168,0.0,0.0,0.0,0.3,0.6,9.8,51.4,5.5,13.6,5.3,5.1,8.4,32.1,21.6,22.4,2.02,0.63,SC,2,SC
169,0.0,0.0,0.0,0.0,0.3,4.3,32.0,15.5,20.9,9.9,4.2,12.9,35.3,20.8,24.7,1.99,0.688,SC,8,SC
170,0.0,1.2,2.2,15.2,31.3,24.8,7.9,2.0,2.1,5.0,3.0,5.3,0.0,0.0,15.2,2.13,0.438,SM,0,SM
171,0.0,0.0,0.0,1.2,33.5,36.8,9.7,1.9,3.8,3.7,3.7,5.7,0.0,0.0,16.1,2.11,0.462,SM,0,SM
172,0.0,0.0,0.0,1.1,32.5,35.5,10.6,2.5,6.2,3.2,2.8,5.6,0.0,0.0,15.9,2.12,0.454,SM,0,SM
173,0.0,0.0,0.0,0.6,20.1,38.4,26.8,2.9,3.4,2.1,2.3,3.4,0.0,0.0,17.8,2.08,0.508,SP-SM,9,SM
174,0.0,0.3,1.6,10.4,28.1,27.8,11.3,2.0,6.6,2.9,3.2,5.8,0.0,0.0,15.4,2.12,0.451,SM,0,SM
175,0.0,0.0,0.0,2.7,25.3,36.0,23.5,1.9,3.3,3.3,1.7,2.3,0.0,0.0,16.6,2.1,0.483,SP-SM,9,SM
176,0.0,0.0,0.0,0.5,7.7,30.3,39.4,2.5,6.9,2.9,2.9,6.9,0.0,0.0,18.4,2.07,0.526,SM,6,SM
177,0.0,0.0,0.0,0.1,3.6,38.1,39.2,2.7,4.9,3.2,2.0,6.2,0.0,0.0,17.5,2.08,0.508,SM,6,SM
178,0.0,0.0,0.6,2.4,21.1,32.8,19.6,4.7,7.7,3.2,2.6,5.3,0.0,0.0,15.5,2.14,0.443,SM,0,SM
179,0.0,1.0,3.1,19.3,30.3,16.5,8.8,2.6,5.1,5.2,3.3,4.8,0.0,0.0,16.2,2.1,0.475,SM,0,SM
180,0.0,2.2,1.6,5.5,40.1,21.6,7.7,2.3,5.5,5.3,3.3,4.9,0.0,0.0,16.0,2.11,0.467,SM,0,SM
181,0.0,0.0,0.5,10.5,44.0,18.1,7.5,2.5,5.6,3.9,2.5,4.9,0.0,0.0,15.3,2.12,0.451,SM,0,SM
182,0.0,1.0,9.1,22.4,19.3,17.5,13.5,2.4,3.7,3.0,3.1,5.0,0.0,0.0,16.8,2.1,0.489,SM,7,SM
183,0.0,7.1,1.1,7.2,29.5,31.1,10.4,1.6,1.6,2.6,2.5,5.3,0.0,0.0,14.5,2.13,0.43,SP-SM,11,SM
184,0.0,1.8,1.7,12.7,33.9,22.6,7.6,2.4,4.3,4.1,3.6,5.3,0.0,0.0,15.4,2.12,0.446,SM,0,SM
185,0.0,2.0,4.7,31.0,40.3,8.6,3.0,0.9,1.9,1.6,1.5,4.5,0.0,0.0,16.1,2.11,0.462,SP-SM,3,SM
186,0.0,1.2,4.5,26.6,26.3,9.8,8.7,2.8,5.5,6.1,3.4,5.1,0.0,0.0,14.9,2.13,0.438,SM,0,SM
187,0.0,0.3,7.2,16.5,18.1,21.2,19.4,2.3,3.5,4.3,2.2,5.0,0.0,0.0,15.6,2.11,0.459,SM,11,SM
188,0.0,3.2,3.1,17.0,51.3,10.8,5.5,1.4,2.1,2.0,1.2,2.4,0.0,0.0,16.3,2.12,0.467,SP-SM,10,SM
189,0.0,12.3,15.9,24.5,16.8,7.1,7.1,2.1,5.2,3.2,1.8,4.0,0.0,0.0,16.0,2.11,0.467,SM,7,SM
190,0.0,0.0,0.0,2.4,2.9,2.1,4.6,2.7,17.9,20.9,11.5,35.0,69.3,44.3,69.8,1.53,1.933,MH,4,MH
191,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.2,21.5,28.0,11.5,36.0,65.4,35.7,71.1,1.51,2.011,MH,4,MH
192,0.0,0.0,0.0,0.9,0.9,7.3,30.3,5.8,11.1,7.5,5.7,30.5,32.9,18.6,24.8,1.98,0.704,s(CL),2,SC
193,0.0,0.0,0.0,0.3,2.3,18.9,22.6,4.8,10.4,7.6,6.3,26.8,31.3,18.9,23.4,2.0,0.673,s(CL),2,SC
194,0.0,0.0,0.0,2.8,9.8,32.0,26.8,3.9,9.7,5.0,2.5,7.5,0.0,0.0,17.0,2.1,0.497,SM,6,SM
195,0.0,0.0,0.4,3.5,15.1,33.0,24.4,3.3,6.9,3.9,2.6,6.9,0.0,0.0,17.5,2.09,0.5,SM,0,SM
196,0.0,0.0,0.0,2.1,6.2,37.9,30.7,3.0,7.0,3.1,3.1,6.9,0.0,0.0,17.8,2.08,0.508,SM,6,SM
197,0.0,0.0,0.0,0.0,1.3,43.4,27.2,4.4,7.6,5.1,3.5,7.5,0.0,0.0,19.3,2.06,0.543,SM,6,SM
198,0.0,4.7,9.6,14.9,25.9,19.3,10.3,1.7,5.1,2.2,1.7,4.6,0.0,0.0,15.6,2.13,0.451,SM,3,SM
199,0.0,0.0,0.0,4.3,23.7,36.2,15.6,2.9,5.9,2.6,2.5,6.3,0.0,0.0,16.1,2.11,0.467,SM,0,SM
