,CO1,GR3,GR2,GR1,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL1,PL,LL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,MEANSHIFT_PRED,MEANSHIFT_GROUP
45,0,0,0.6,2.5,6.3,18.3,29.3,12.9,5.4,7.8,2.5,14.4,19.1,31.4,19.9,2.06,0.564,CL5,3,SM3
46,0,1.5,1.3,3.1,4.9,12.1,13.5,20.9,8.8,9.8,3.1,21,19.7,34.2,21.6,2.03,0.617,CL4,2,SC2
47,0,0,1.4,5.8,13.1,28.6,23.6,7.7,3.2,4.5,1.6,10.5,17.8,22.1,16.6,2.09,0.492,SC2,6,SM3
48,0,0,0,3.4,8.3,29.2,28,11.1,3.8,4.5,1.6,10.1,17.5,21.6,18.3,2.1,0.506,SC2,6,SM3
49,0,0,0,0,1.1,4.9,60.7,11.3,4.5,5.1,2.2,10.2,17.7,22.4,20.6,2,0.608,SC2,3,SM3
50,0,0,0,0,1.1,4.8,42.5,25.2,7.4,6.5,2.2,10.3,17.4,22.6,20.1,2.02,0.595,SC2,3,SM3
51,0,0,0,1.1,4.3,19.1,13.4,34.5,8.6,5.9,1.9,11.2,17.2,23,18.9,2.06,0.549,SC2,2,SC2
52,0,0,0,1.2,0.6,7.5,23,39.1,9.6,7.8,1.7,9.5,0,0,21.4,2.01,0.614,SM1,3,SM3
53,0,0,0,0,0,2.3,23.4,51.4,7.2,6.3,2.4,7,0,0,22.2,2,0.634,SM2,3,SM3
54,0,0,0,1.8,3.9,20.7,32.9,21,5,4.8,2.2,7.7,0,0,20.9,2.01,0.614,SM3,3,SM3
55,0,0,0,0,1.7,10.1,50.1,18.8,4.9,5.1,2.1,7.2,0,0,21.1,2.03,0.595,SM3,3,SM3
56,0,0,0,0,0,4.8,46.1,28.4,5.6,5.5,1.9,7.7,0,0,22,2,0.634,SM3,3,SM3
57,0,0,1,6.7,7.5,22,26.2,19.6,4.6,4.9,1.2,6.3,0,0,18.6,2.06,0.534,SM3,6,SM3
58,0,0,0,0,1.2,14.1,38.8,26.7,5.5,4.6,2,7.1,0,0,21.4,2,0.618,SM3,3,SM3
59,0,0,0,0,0,0,0,2.3,9.8,24.5,9.6,53.8,22.6,44,18.4,2.11,0.539,CH6,0,CH6
60,0,0,0,0,0,0,1.2,1.9,5.3,25.6,11.6,54.4,23.8,48.6,16.8,2.13,0.505,CH6,0,CH6
61,0,0,0,0,0,0,1,3.9,5.7,19.3,8.8,61.3,25.6,50.9,19.2,2.09,0.566,CH6,0,CH6
62,0,0,0,0,0,0,0,0.7,5.1,23.2,10.9,60.1,53.8,84.1,107.1,1.41,2.853,Pt1,1,Pt1
63,0,0,0,0,0,0,0,0.7,4.3,18.3,12.6,64.1,57.7,89.8,110.3,1.39,2.985,Pt1,1,Pt1
64,0,0,0,0,0,0,0,1.3,4.3,18.5,9.9,66,52.5,85.6,108.6,1.4,2.925,Pt1,1,Pt1
65,0,0,0,0,0,0,0,0.3,6.8,25.4,10.3,57.2,43.1,70.9,78.4,1.49,2.131,Pt1,1,Pt1
66,0,0,0,0,0,0,0.3,1.3,7.5,24.6,10.3,56,44.6,71.3,80.6,1.5,2.157,Pt1,1,Pt1
67,0,0,0,0,0,0,0,0.9,6.5,25.1,9.9,57.6,45.9,73.8,82.3,1.49,2.207,Pt1,1,Pt1
68,0,0,0,0,0,0,0,0.3,4.3,21.6,11.1,62.7,41.1,70.7,79,1.5,2.119,Pt1,1,Pt1
69,0,0,0,0,0,0,0,0.8,9.5,24.6,8.6,56.5,34,52.4,31.3,1.9,0.89,CH6,0,CH6
70,0,0,0,0,0,0,0,1,6.8,27,10.9,54.3,34.4,53.3,30.2,1.89,0.883,CH6,0,CH6
71,0,0,0,0,0,0,0,0.5,4.6,20.1,9.4,65.4,36.1,54.2,32.5,1.87,0.943,CH6,0,CH6
72,0,0,0,0,0.7,3.8,16.4,51.5,7.9,7.4,2.7,9.6,19.8,23.2,22,2.01,0.636,SC2,2,SC2
73,0,0,0,0,0,1.6,3,9.8,9.6,23.6,7.6,44.8,24.6,40.2,33.9,1.85,0.971,CL3,0,CH6
74,0,0,0,0,0,0,0.6,4.7,14.5,30.9,7.8,41.5,26.3,41.4,34.3,1.83,1,CL3,0,CH6
75,0,0,0,0,0,0,1.2,5.2,18.8,26.2,7.4,41.2,28.1,43.9,36.6,1.82,1.045,CL3,4,CL3
76,0,0,0,1.4,4.5,26.4,34.3,16.6,4.6,4.6,1.5,6.1,0,0,14.2,2.14,0.428,SM3,3,SM3
77,0,0,0,0,0,0,0,1,7.3,20.3,7.6,63.8,22.2,39.3,18.8,2.1,0.542,CH6,0,CH6
78,0,0,0,0,0,0,0,1.4,4.7,18.3,8.2,67.4,28.3,46.4,21.5,2.05,0.621,CH6,0,CH6
79,0,0,0,0,0,0,0,0.7,2.9,18.1,9.4,68.9,29.4,47,21.2,2.04,0.625,CH6,0,CH6
80,0,0,0,0,0,0,0.7,4.5,6.7,23,9,56.1,24,37.8,19.6,2.09,0.56,CL6,0,CH6
81,0,0,0,0,0,0,0.9,5,11,29.3,8.7,45.1,24.2,36.4,20.6,2.06,0.596,CL6,0,CH6
82,0,0,0,0,0,0,0,1,11.3,29.7,9.3,48.7,26.9,39.6,21,2.05,0.621,CL6,0,CH6
83,0,12.6,12.6,8.4,3.2,6.7,7.9,12.5,2.5,5.8,5.1,22.7,23,32.9,27,1.93,0.783,CG1,5,CG1
84,0,0,0,0,0,0,0,0.3,2.3,23.3,15.6,58.5,45.3,69.6,79.6,1.48,2.207,Pt1,1,Pt1
85,0,0,0,0,0,0,0,0.9,3.4,21.1,13.6,61,42.5,65.9,79.2,1.5,2.131,Pt1,1,Pt1
86,0,0,0,0,0,0,0,0.3,1.9,19.8,13.6,64.4,46.5,69,83.9,1.48,2.3,Pt1,1,Pt1
87,0,0,0,0,0,0,0,0.9,3.1,19,11,66,45.2,68,83.1,1.47,2.3,Pt1,1,Pt1
88,0,0,0,0,0,0,0,0.3,1.6,16.2,12.6,69.3,43.3,68.6,79.9,1.49,2.193,Pt1,1,Pt1
89,0,0,0,0,0,0,0,3.5,3.8,16.9,10.3,65.5,48.9,75.7,68.4,1.55,1.848,CH3,1,Pt1
90,0,0,0,0,0,0,0.2,1.5,5.5,26.3,13.2,53.3,31,45.5,26.6,1.96,0.761,CL6,0,CH6
91,0,0,0,0,0,0,0,1.5,2.9,30.4,12.4,52.8,31.5,46.7,28.7,1.93,0.827,CL6,0,CH6
92,0,0,0,0,0,0,0.2,0.7,8.3,34.4,13.5,42.9,27.8,42,25.9,1.98,0.745,CL6,0,CH6
93,0,0,0,0,0.8,2.9,37.1,46.8,5.5,4.2,1.5,1.2,0,0,19.3,1.93,0.642,SM2,3,SM3
94,0,0,0,0,0,1.1,35.2,50.9,5,2.3,1.6,3.9,0,0,20.4,2.02,0.589,SM2,3,SM3
95,0,0,0,0,1.4,3.2,14.7,59.6,7,4.3,2,7.8,0,0,21.7,1.99,0.634,SM2,2,SC2
96,0,0,0,2.6,1.2,2.3,9.3,68.7,5,2.1,2.4,6.4,0,0,23.9,1.97,0.686,SM2,2,SC2
97,0,0,0,0,0,0,0,1.7,8,33.7,9.5,47.1,21.1,34.1,27,1.94,0.778,CL4,0,CH6
98,0,0,0,2.5,3.5,11.3,39.2,18.7,5.3,6.6,2.2,10.7,18.4,23.8,19.4,2.08,0.54,SC2,3,SM3
99,0,0,0,0,0,0.6,2.5,53.9,15.6,10.9,3.2,13.3,19.2,26,20.8,2.04,0.592,SC2,2,SC2
100,0,0,0,0,0,1.4,4.7,54.3,13.5,10.3,3.7,12.1,18.6,25.2,21.2,2.01,0.62,SC2,2,SC2
101,0,0,0,0,0,1.2,7.1,56,11.2,9.8,3.2,11.5,17,22.9,20.3,2.04,0.576,SC2,2,SC2
102,0,0,0,0.4,2.1,5,20.2,37.6,10.5,10.1,2.9,11.2,17.4,23.1,19.8,2.03,0.586,SC2,2,SC2
103,0,0,0,0,0.6,1.9,40.5,30.4,7.4,6.9,2.4,9.9,17.9,22.2,20.1,2.02,0.595,SC2,3,SM3
