,GR1,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,LI,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
13,31.1,11.1,9.2,9.8,7.1,6.5,2,6.9,4.9,3.3,8.1,0,0,0,15,2.17,0.418,(SM)g,8,(SM)g
14,0.6,3.5,18.6,24.4,22.7,10,1.8,6.2,3.6,3.3,5.3,0,0,0,16.3,2.1,0.475,SM,1,SM
15,0,0,0,0,0,0,0.3,11.3,28.5,13.5,46.4,79.1,41.3,1.060846561,81.4,1.48,2.293,MH,3,MH
16,0,0,0,0,0,1.3,1.9,19.5,26.2,12,39.1,83.9,39.5,1.155405405,90.8,1.45,2.5,MH,0,MH
17,0,0,0,0,0,0.9,1.7,23.5,22.9,11.4,39.6,78.8,39.3,1.030379747,80,1.5,2.217,MH,0,MH
18,0,0,0,0,0,0,0.6,21.7,24.2,13,40.5,87.7,43.3,0.932432432,84.7,1.47,2.338,MH,0,MH
19,0,0,1.8,3.4,7.9,22.1,5.1,12,12.7,7.7,27.3,52.8,27.7,0.964092995,49.2,1.69,1.372,s(CH),4,s(CL)
20,0,0.3,0.8,9.5,49,25.4,2.2,3,2.6,2.4,4.8,0,0,0,27.8,1.89,0.804,SM,5,SM
21,0,0,0,0,0,0.6,0.9,10.1,24,16.4,48,81.4,43,0.705729167,70.1,1.54,1.956,MH,3,MH
22,0,0,0,0,0,0,0.3,12,28.9,15,43.8,80.2,41.5,0.723514212,69.5,1.56,1.913,MH,3,MH
23,0,0,0,0,0,0,0.3,13.5,24.3,15.9,46,74.6,40.4,0.660818713,63,1.58,1.773,MH,3,MH
24,0,0,0,0,0,0,0.7,9.9,25.3,14.3,49.8,77.5,39.2,0.694516971,65.8,1.55,1.892,MH,3,MH
25,0,0,0,0,0,0.6,1.4,18.3,27.6,12.7,39.4,73.7,43.4,0.666666667,63.6,1.55,1.821,MH,3,MH
26,0,0,0,0.5,0.7,15.6,18.9,29.1,9.6,5.9,19.7,41.4,25.2,0.64061046,35.4,1.8,1.023,s(CL),4,s(CL)
27,0,0,3.9,5.9,33.7,34,3.9,6.5,4.8,2.6,4.7,0,0,0,18.1,2.05,0.534,SM,5,SM
