,GR1,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,LI,MC,DENSITY,VOID_RATIO,SOIL_GROUP,MEANSHIFT_PRED,MEANSHIFT_GROUP
33,0.0,0.0,0.0,0.0,0.0,0.0,0.3,13.6,30.6,14.8,40.7,89.0,43.8,0.9491150442477877,86.7,1.48,2.367,MH,0,MH
34,0.0,0.0,0.9,0.9,1.7,8.6,4.9,20.7,19.2,9.6,33.5,90.0,43.9,0.7773369678066367,78.3,1.5,2.179,(MH)s,0,MH
35,0.0,0.0,0.0,0.9,2.6,6.0,2.3,16.4,17.0,14.2,40.6,81.9,42.1,0.8006455080650476,73.3,1.53,2.045,MH,0,MH
36,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.3,25.6,15.7,44.8,83.8,41.6,0.6658767772511849,69.7,1.56,1.913,MH,0,MH
37,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.7,25.5,12.9,51.6,83.1,42.7,0.7004950495049506,71.0,1.54,1.989,MH,0,MH
38,0.0,0.0,0.0,0.0,0.0,0.0,0.9,13.0,22.9,17.2,46.0,81.6,40.6,0.6829268292682926,68.6,1.55,1.913,MH,0,MH
39,0.0,0.0,0.0,0.0,0.0,0.9,0.6,14.6,21.2,13.2,49.5,80.9,41.4,0.6202531645569621,65.9,1.56,1.862,MH,0,MH
40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.5,26.5,17.2,40.8,82.8,45.3,0.6640000000000001,70.2,1.55,1.934,MH,0,MH
41,0.0,0.0,0.0,0.0,0.0,0.8,1.3,20.7,24.5,11.2,41.5,79.5,41.5,0.6026315789473685,64.4,1.6,1.753,MH,0,MH
42,0.0,0.0,0.0,0.9,1.3,20.5,18.0,28.4,8.0,4.4,18.5,36.0,23.0,0.6370410618644724,31.0,1.86,0.894,s(CL),3,s(CL)
